#FriendlyName,FileName,URL,MD5,isZipped
EclipseJava,eclipse-java-oxygen-2-win32.zip,http://mirror.csclub.uwaterloo.ca/eclipse/technology/epp/downloads/release/oxygen/2/eclipse-java-oxygen-2-win32.zip,e7661f45ebd097d4b6b7ad18d5f08799,true
EclipseC++,eclipse-cpp-oxygen-2-win32.zip,http://mirror.csclub.uwaterloo.ca/eclipse/technology/epp/downloads/release/oxygen/2/eclipse-cpp-oxygen-2-win32.zip,f6dca87d054379c63e76ed160b7efaf6,true
NI-LabVIEW,NI_FRC2018.zip,http://ftp.ni.com/support/softlib/labview/labview_frc/NI_FRC2018.zip,29ea9bdf54f6b645b49a9c5d5df5a96f,true
NI-Update,FRCUpdateSuite_2018.1.0.zip,http://ftp.ni.com/support/softlib/first/frc/FileAttachments/FRCUpdateSuite_2018.1.0.zip,16c3ee965b54887aa57aeb6b2cf87c79,true
Password,2018Password.txt,https://raw.githubusercontent.com/JamieSinn/CSA-USB-Tool/master/2018Password.txt,fc4dc94845f4177577d41dea08c99fb1,false
C++Toolchain,FRC-2018-Windows-Toolchain-5.5.msi,http://first.wpi.edu/FRC/roborio/toolchains/FRC-2018-Windows-Toolchain-5.5.msi,044f9a97451643be24b4dd9880413602,false
CTRE-Phoenix-Win,CTRE Phoenix Framework v5.3.1.0.zip,http://www.ctr-electronics.com/downloads/installers/CTRE%20Phoenix%20Framework%20v5.3.1.0.zip,f6b06385d0371ce032416488a741eeed,true
CTRE-Phoenix-All,CTRE_Phoenix_FRCLibs_NON-WINDOWS_v5.3.1.0.zip,http://www.ctr-electronics.com//downloads/lib/CTRE_Phoenix_FRCLibs_NON-WINDOWS_v5.3.1.0.zip,db14f175e19d249a4468a7d1447498a2,true
Silverlight5,Silverlight.exe,https://download.microsoft.com/download/F/D/0/FD0B0093-DE8A-4C4E-BDC4-F0C56D72018C/50907.00/Silverlight.exe,d83b8ae32eb0d6c8df1d5bd9a2953702,false
ScreenstepsC++,FRC_C_Programming.pdf,https://s3.amazonaws.com/screensteps_live/exported/Wpilib/2078/54165/FRC_C_Programming.pdf,3b3bcae79578c6faedaa1def8d04db01,false
RadioConfigTool,FRC_Radio_Configuration_18_1_0.zip,https://firstfrc.blob.core.windows.net/frc2018/Radio/FRC_Radio_Configuration_18_1_0.zip,4114e8e40fc291c91d7b4efc8f6c73ab,true
EclipsePlugins,EclipsePluginsV2018.4.1.zip,http://first.wpi.edu/FRC/roborio/release/EclipsePluginsV2018.4.1.zip,126ffcb52b9d09a5a34253a79144a30c ,true
2018Manual,2018FRCGameSeasonManual.pdf,https://firstfrc.blob.core.windows.net/frc2018/Manual/2018FRCGameSeasonManual.pdf,177cec6c0060dcaf19fff5f2fa40062b,false
NavX,navx-mxp.zip,https://www.kauailabs.com/public_files/navx-mxp/navx-mxp.zip,a1801df66539f8e82569f624c9485795,true
Shuffleboard,app-1.3.1.jar,http://first.wpi.edu/FRC/roborio/maven/release/edu/wpi/first/shuffleboard/app/1.3.1/app-1.3.1.jar,843f7c65e8329894a804cb99963b87ca,false
