#FriendlyName,FileName,URL,MD5,isZipped
NI-LabVIEW,ni-frc-2022-base-suite_22.0.0.49164-0+f12_offline.iso,https://download.ni.com/support/nipkg/products/ni-f/ni-frc-2022-base-suite/22.0/offline/ni-frc-2022-base-suite_22.0.0.49164-0+f12_offline.iso,041dbac231ac3e66c5de5f7bfa945d43,false
NI-Update,ni-frc-2022-game-tools_22.0.1_offline.iso,https://download.ni.com/support/nipkg/products/ni-f/ni-frc-2022-game-tools/22.0/offline/ni-frc-2022-game-tools_22.0.1_offline.iso,d579261547f9c08e301c93c5b2b98fd6,false
WPILibInstaller_Windows64,WPILib_Windows64-2022.4.1.iso,https://github.com/wpilibsuite/allwpilib/releases/download/v2022.4.1/WPILib_Windows64-2022.4.1.iso,9f867a4a8a7a48169668e75feba51d28,false
Password,2022Password.txt,https://raw.githubusercontent.com/JamieSinn/CSA-USB-Tool/master/2022Password.txt,327a100428a51898054ba1e34e7ffe02,false
CTRE-Phoenix-Win,CTRE.Phoenix.Framework.v5.21.1.0.exe,https://github.com/CrossTheRoadElec/Phoenix-Releases/releases/download/v5.21.1.0/CTRE_Phoenix_Framework_v5.21.1.0.exe,7eec334bed19236920d7a1ceef0e12b5,false
RadioConfigTool,FRC_Radio_Configuration_22_0_1.zip,https://firstfrc.blob.core.windows.net/frc2022/Radio/FRC_Radio_Configuration_22_0_1.zip,985ea293c009832f0cec53e60e9babe7,true
RadioConfigTool Israel,FRC_Radio_Configuration_22_0_1_IL.zip,https://firstfrc.blob.core.windows.net/frc2022/Radio/FRC_Radio_Configuration_22_0_1_IL.zip,29cff7f77fbc5628247188544e65821c,true
2022Manual,2022FRCGameManual.pdf,https://firstfrc.blob.core.windows.net/frc2022/Manual/2022FRCGameManual.pdf,00000000000000000,false
NavX,navx-mxp.zip,https://www.kauailabs.com/public_files/navx-mxp/navx-mxp.zip,00000000000000000,true
VSCode-1.63.2,VSCode-win64.exe,https://az764295.vo.msecnd.net/stable/899d46d82c4c95423fb7e10e68eba52050e30ba3/VSCodeUserSetup-x64-1.63.2.exe,0f5a04b9e36823c986c3313025a4f579,false
VSCode-Cpp,VSCode-Cpp.vsix,https://github.com/microsoft/vscode-cpptools/releases/download/1.7.1/cpptools-win32.vsix,3bfbf7ea52676259f563e1705236d7a6,true
REV Hardware Client,REV-Hardware-Client-Setup-1.4.2.exe,https://github.com/REVrobotics/REV-Software-Binaries/releases/download/rhc-1.4.2/REV-Hardware-Client-Setup-1.4.2.exe,112a883b9f189e9e9ee56900465d0628,false
REVLib labVIEW API,REVLib-labVIEW-2022.0.0-0_windows-all.nipkg,https://github.com/REVrobotics/REV-Software-Binaries/releases/download/revlib-2022.0.0/REVLib-labVIEW-2022.0.0-0_windows_all.nipkg,d6f34c55708447778cf91c8fa02e71bd,false
REVLib Java/C++ API,REVLib-offline-v2022.1.1.zip,https://github.com/REVrobotics/REV-Software-Binaries/releases/download/revlib-2022.1.1/REVLib-offline-v2022.1.1.zip,9624efc3bee707c7cc332f260731730d,true
DotNet4.8,NDP462-KB3151800-x86-x64-AllOS-ENU.exe,https://download.visualstudio.microsoft.com/download/pr/2d6bb6b2-226a-4baa-bdec-798822606ff1/8494001c276a4b96804cde7829c04d7f/ndp48-x86-x64-allos-enu.exe,7d2b599470e34481138444866b7e4ea6,false
Python 3.7.2,python-3.7.2.exe,https://www.python.org/ftp/python/3.7.2/python-3.7.2.exe,38156b62c0cbcb03bfddeb86e66c3a0f,false
Limelight Finder Tool,LimelightFinderSetup1_0_1.exe,http://downloads.limelightvision.io/software/LimelightFinderSetup1_0_1.exe,7e3ec1ea8d1c6c78f79839a019d7c43d,false
Limelight 2022.2.2,limelight_2022_2_2_release.zip,https://downloads.limelightvision.io/images/limelight_2022_2_2_release.zip,050DD99E167D86CD6F85AF9CBB34E3D3,true
Limelight USB Driver,rpiboot_setup.exe,https://github.com/raspberrypi/usbboot/raw/master/win32/rpiboot_setup.exe,E6EE3C1EEB576253B500BEE1BFA2E5CA,false
7-Zip,7z2107.exe,https://www.7-zip.org/a/7z2107-x64.exe,49839f0c227b5f9399b59f6ae94a7c7b,false
FRC-Docs,docs-wpilib-org-en-latest.pdf,https://docs.wpilib.org/_/downloads/en/latest/pdf/,00000000000000000,false
BalenaEtcher Portable,balenaEtcher-Portable-1.7.3.exe,https://github.com/balena-io/etcher/releases/download/v1.7.3/balenaEtcher-Portable-1.7.3.exe,003ef9497101bda77f18cd6583600c92,false
DSLOG Reader 2.2,DSLOG-Reader.2.2.exe,https://github.com/orangelight/DSLOG-Reader/releases/download/v2.2.0/DSLOG-Reader.2.2.exe,false
